Row ID;Ship Date;Customer Name;City;State;Postal Code;Region;Category;Sub-Category;Product Name;Sales;Quantity
86;2017-05-30;Patrick O'Donnell;Columbia;South Carolina;29203;South;Furniture;Chairs;Novimex Swivel Fabric Task Chair;301,96;2
87;2017-11-02;Paul Gonzalez;Rochester;Minnesota;55901;Central;Technology;Accessories;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;19,99;1
88;2017-11-02;Paul Gonzalez;Rochester;Minnesota;55901;Central;Office Supplies;Labels;Avery 511;6,16;2
89;2016-04-10;Gary Mitchum;Houston;Texas;77095;Central;Office Supplies;Storage;Eldon Portable Mobile Manager;158,368;7
90;2016-09-22;Jim Sink;Los Angeles;California;90036;West;Office Supplies;Art;Turquoise Lead Holder with Pocket Clip;20,1;3
91;2016-09-22;Jim Sink;Los Angeles;California;90036;West;Technology;Phones;Panasonic Kx-TS550;73,584;2
92;2016-09-22;Jim Sink;Los Angeles;California;90036;West;Office Supplies;Paper;Xerox 1995;6,48;1
93;2015-02-05;Karl Braun;Minneapolis;Minnesota;55407;Central;Office Supplies;Paper;Xerox 1999;12,96;2
94;2015-02-05;Karl Braun;Minneapolis;Minnesota;55407;Central;Furniture;Furnishings;"Seth Thomas 13 1/2"" Wall Clock";53,34;3
95;2015-02-05;Karl Braun;Minneapolis;Minnesota;55407;Central;Office Supplies;Binders;Ibico Standard Transparent Covers;32,96;2
96;2017-11-12;Roger Barcio;Portland;Oregon;97206;West;Office Supplies;Binders;Flexible Leather- Look Classic Collection Ring Binder;5,682;1
97;2017-11-11;Parhena Norris;New York City;New York;10009;East;Furniture;Furnishings;9-3/4 Diameter Round Wall Clock;96,53;7
98;2017-06-20;Katherine Ducich;San Francisco;California;94122;West;Office Supplies;Binders;Trimflex Flexible Post Binders;51,312;3
99;2016-09-11;Elpida Rittenbach;Saint Paul;Minnesota;55106;Central;Office Supplies;Appliances;Fellowes Basic Home/Office Series Surge Protectors;77,88;6
100;2016-09-02;Rick Bensley;Chicago;Illinois;60610;Central;Office Supplies;Paper;Avery Personal Creations Heavyweight Cards;64,624;7
101;2016-09-02;Rick Bensley;Chicago;Illinois;60610;Central;Technology;Accessories;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;95,976;3
102;2016-09-02;Rick Bensley;Chicago;Illinois;60610;Central;Office Supplies;Binders;Avery Hidden Tab Dividers for Binding Systems;1,788;3
103;2016-12-04;Gary Zandusky;Rochester;Minnesota;55901;Central;Office Supplies;Paper;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);23,92;4
104;2015-11-17;Lena Cacioppo;Aurora;Colorado;80013;West;Technology;Accessories;Logitech K350 2.4Ghz Wireless Keyboard;238,896;6
105;2015-11-17;Lena Cacioppo;Aurora;Colorado;80013;West;Furniture;Furnishings;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;102,36;3
106;2015-11-17;Lena Cacioppo;Aurora;Colorado;80013;West;Office Supplies;Binders;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";36,882;3
107;2017-11-28;Janet Martin;Charlotte;North Carolina;28205;South;Technology;Accessories;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;74,112;8
108;2017-11-28;Janet Martin;Charlotte;North Carolina;28205;South;Technology;Phones;Speck Products Candyshell Flip Case;27,992;1
109;2017-11-28;Janet Martin;Charlotte;North Carolina;28205;South;Office Supplies;Art;Newell Chalk Holder;3,304;1
110;2015-10-20;Pete Armstrong;Orland Park;Illinois;60462;Central;Technology;Accessories;Logitech Gaming G510s - Keyboard;339,96;5
111;2017-12-30;Cynthia Voltz;New York City;New York;10035;East;Furniture;Furnishings;Magnifier Swing Arm Lamp;41,96;2
112;2016-11-10;Clay Ludtke;Urbandale;Iowa;50322;Central;Office Supplies;Art;Hunt PowerHouse Electric Pencil Sharpener, Blue;75,96;2
113;2016-11-10;Clay Ludtke;Urbandale;Iowa;50322;Central;Office Supplies;Binders;"Avery Durable Plastic 1"" Binders";27,24;6
114;2014-08-27;Ryan Crowe;Columbus;Ohio;43229;East;Office Supplies;Fasteners;OIC Colored Binder Clips, Assorted Sizes;40,096;14
115;2014-08-27;Ryan Crowe;Columbus;Ohio;43229;East;Office Supplies;Envelopes;Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;4,72;2
116;2014-08-27;Ryan Crowe;Columbus;Ohio;43229;East;Office Supplies;Paper;Xerox 1921;23,976;3
117;2014-08-27;Ryan Crowe;Columbus;Ohio;43229;East;Office Supplies;Envelopes;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;130,464;6
118;2015-03-06;Dave Kipp;Seattle;Washington;98103;West;Furniture;Tables;Hon Racetrack Conference Tables;787,53;3
119;2015-04-10;Greg Guthrie;Bristol;Tennessee;37620;South;Office Supplies;Binders;GBC DocuBind 300 Electric Binding Machine;157,794;1
120;2016-06-15;Steven Cartwright;Wilmington;Delaware;19805;East;Furniture;Furnishings;Artistic Insta-Plaque;47,04;3
121;2016-06-15;Steven Cartwright;Wilmington;Delaware;19805;East;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings by Samsill;30,84;4
122;2016-06-15;Steven Cartwright;Wilmington;Delaware;19805;East;Office Supplies;Storage;Companion Letter/Legal File, Black;226,56;6
123;2016-06-15;Steven Cartwright;Wilmington;Delaware;19805;East;Office Supplies;Envelopes;Globe Weis Peel & Seel First Class Envelopes;115,02;9
124;2016-06-15;Steven Cartwright;Wilmington;Delaware;19805;East;Technology;Phones;KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7;68,04;7
125;2014-12-28;Alan Dominguez;Houston;Texas;77041;Central;Furniture;Chairs;Global Deluxe High-Back Manager's Chair;600,558;3
126;2014-09-25;Philip Fox;Bloomington;Illinois;61701;Central;Furniture;Tables;Bevis 44 x 96 Conference Tables;617,7;6
127;2017-11-12;Troy Staebel;Phoenix;Arizona;85023;West;Office Supplies;Binders;Avery Durable Slant Ring Binders, No Labels;2,388;2
128;2017-11-12;Troy Staebel;Phoenix;Arizona;85023;West;Office Supplies;Storage;Trav-L-File Heavy-Duty Shuttle II, Black;243,992;7
129;2016-11-10;Lindsay Shagiari;Los Angeles;California;90004;West;Furniture;Chairs;Global Task Chair, Black;81,424;2
130;2016-11-10;Lindsay Shagiari;Los Angeles;California;90004;West;Furniture;Furnishings;Eldon Cleatmat Plus Chair Mats for High Pile Carpets;238,56;3
131;2017-02-05;Dorothy Wardle;Columbus;Ohio;43229;East;Technology;Phones;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;59,97;5
132;2017-02-05;Dorothy Wardle;Columbus;Ohio;43229;East;Office Supplies;Paper;Xerox 1916;78,304;2
133;2017-02-05;Dorothy Wardle;Columbus;Ohio;43229;East;Office Supplies;Fasteners;Staples;21,456;9
134;2016-10-19;Lena Creighton;Roseville;California;95661;West;Office Supplies;Paper;Xerox 195;20,04;3
135;2016-10-19;Lena Creighton;Roseville;California;95661;West;Office Supplies;Paper;Xerox 1880;35,44;1
136;2016-10-19;Lena Creighton;Roseville;California;95661;West;Office Supplies;Art;Sanford Colorific Colored Pencils, 12/Box;11,52;4
137;2016-10-19;Lena Creighton;Roseville;California;95661;West;Office Supplies;Fasteners;Ideal Clamps;4,02;2
138;2016-10-19;Lena Creighton;Roseville;California;95661;West;Office Supplies;Binders;GBC Wire Binding Strips;76,176;3
139;2016-10-19;Lena Creighton;Roseville;California;95661;West;Office Supplies;Supplies;Fiskars Softgrip Scissors;65,88;6
140;2016-10-19;Lena Creighton;Roseville;California;95661;West;Furniture;Furnishings;Longer-Life Soft White Bulbs;43,12;14
141;2016-09-07;Jonathan Doherty;Philadelphia;Pennsylvania;19140;East;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";82,8;2
142;2017-09-23;Sally Hughsby;San Francisco;California;94122;West;Office Supplies;Art;Newell 343;8,82;3
143;2017-09-23;Sally Hughsby;San Francisco;California;94122;West;Office Supplies;Envelopes;Convenience Packs of Business Envelopes;10,86;3
144;2017-09-23;Sally Hughsby;San Francisco;California;94122;West;Office Supplies;Paper;Xerox 1911;143,7;3
145;2017-12-27;Sandra Glassco;Independence;Missouri;64055;Central;Office Supplies;Appliances;Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;839,43;3
146;2015-09-12;Helen Andreada;Pasadena;California;91104;West;Office Supplies;Storage;Safco Industrial Wire Shelving;671,93;7
147;2014-10-28;Maureen Gastineau;Newark;Ohio;43055;East;Furniture;Furnishings;"Seth Thomas 14"" Putty-Colored Wall Clock";93,888;4
148;2016-12-09;Justin Ellison;Franklin;Wisconsin;53132;Central;Technology;Phones;Plantronics Cordless Phone Headset with In-line Volume - M214C;384,45;11
149;2016-12-09;Justin Ellison;Franklin;Wisconsin;53132;Central;Technology;Phones;Anker Astro 15000mAh USB Portable Charger;149,97;3
150;2016-12-09;Justin Ellison;Franklin;Wisconsin;53132;Central;Furniture;Chairs;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;1951,84;8
151;2016-12-09;Justin Ellison;Franklin;Wisconsin;53132;Central;Office Supplies;Binders;GBC Prestige Therm-A-Bind Covers;171,55;5
152;2016-03-16;Tamara Willingham;Scottsdale;Arizona;85254;West;Office Supplies;Appliances;Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection;157,92;5
153;2016-03-16;Tamara Willingham;Scottsdale;Arizona;85254;West;Technology;Phones;Jabra BIZ 2300 Duo QD Duo Corded Headset;203,184;2
154;2015-06-02;Stephanie Phelps;San Jose;California;95123;West;Office Supplies;Paper;Southworth 25% Cotton Antique Laid Paper & Envelopes;58,38;7
155;2015-06-02;Stephanie Phelps;San Jose;California;95123;West;Office Supplies;Paper;Xerox 1883;105,52;4
156;2015-06-02;Stephanie Phelps;San Jose;California;95123;West;Office Supplies;Storage;Tenex Personal Project File with Scoop Front Design, Black;80,88;6
157;2015-06-03;Neil Knudson;Seattle;Washington;98105;West;Office Supplies;Art;Newell 311;6,63;3
158;2014-03-06;Dave Brooks;Seattle;Washington;98115;West;Furniture;Chairs;Global Deluxe High-Back Manager's Chair;457,568;2
159;2016-11-24;Nora Paige;Edmond;Oklahoma;73034;Central;Office Supplies;Labels;Avery 519;14,62;2
160;2016-11-24;Nora Paige;Edmond;Oklahoma;73034;Central;Technology;Phones;Avaya 5420 Digital phone;944,93;7
161;2016-05-12;Ted Trevino;Los Angeles;California;90045;West;Office Supplies;Paper;Xerox 1920;5,98;1
162;2015-12-31;Eric Murdock;Philadelphia;Pennsylvania;19134;East;Technology;Accessories;Lenovo 17-Key USB Numeric Keypad;54,384;2
163;2016-11-20;Ruben Dartt;Carlsbad;New Mexico;88220;West;Office Supplies;Envelopes;Staple envelope;28,4;5
164;2016-11-11;Max Jones;Seattle;Washington;98115;West;Office Supplies;Binders;Wilson Jones International Size A4 Ring Binders;27,68;2
165;2014-09-12;Becky Martin;San Antonio;Texas;78207;Central;Office Supplies;Art;BIC Brite Liner Highlighters;9,936;3
166;2014-09-12;Becky Martin;San Antonio;Texas;78207;Central;Technology;Machines;Lexmark MX611dhe Monochrome Laser Printer;8159,952;8
167;2014-09-12;Becky Martin;San Antonio;Texas;78207;Central;Office Supplies;Storage;Space Solutions HD Industrial Steel Shelving.;275,928;3
168;2014-09-12;Becky Martin;San Antonio;Texas;78207;Central;Furniture;Chairs;SAFCO Arco Folding Chair;1740,06;9
169;2014-09-12;Becky Martin;San Antonio;Texas;78207;Central;Office Supplies;Art;Sanford Liquid Accent Highlighters;32,064;6
170;2014-09-12;Becky Martin;San Antonio;Texas;78207;Central;Office Supplies;Appliances;Kensington 7 Outlet MasterPiece Power Center;177,98;5
171;2014-09-12;Becky Martin;San Antonio;Texas;78207;Central;Technology;Phones;JBL Micro Wireless Portable Bluetooth Speaker;143,976;3
172;2014-08-09;Chad Sievert;Los Angeles;California;90004;West;Office Supplies;Paper;Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”;20,94;3
173;2014-08-09;Chad Sievert;Los Angeles;California;90004;West;Office Supplies;Paper;Xerox 1913;110,96;2
174;2014-08-09;Chad Sievert;Los Angeles;California;90004;West;Furniture;Chairs;Global Value Steno Chair, Gray;340,144;7
175;2014-09-19;Jennifer Braxton;Chicago;Illinois;60623;Central;Office Supplies;Appliances;Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center;52,448;2
176;2014-09-19;Jennifer Braxton;Chicago;Illinois;60623;Central;Office Supplies;Labels;Avery 51;20,16;4
177;2017-04-25;Shirley Jackson;Houston;Texas;77036;Central;Office Supplies;Appliances;Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection;97,264;4
178;2015-11-23;Joel Eaton;Newark;Ohio;43055;East;Furniture;Chairs;Padded Folding Chairs, Black, 4/Carton;396,802;7
179;2015-11-23;Joel Eaton;Newark;Ohio;43055;East;Office Supplies;Supplies;Acme Rosewood Handle Letter Opener;15,88;5
180;2015-12-19;Jim Kriz;New York City;New York;10009;East;Office Supplies;Art;Sanford Colorific Eraseable Coloring Pencils, 12 Count;3,28;1
181;2014-12-09;David Kendrick;Decatur;Illinois;62521;Central;Office Supplies;Storage;Tenex File Box, Personal Filing Tote with Lid, Black;24,816;2
182;2014-12-09;David Kendrick;Decatur;Illinois;62521;Central;Technology;Accessories;"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB";408,744;7
183;2014-11-24;Robert Marley;Monroe;Louisiana;71203;South;Technology;Phones;AT&T TR1909W;503,96;4
184;2014-11-24;Robert Marley;Monroe;Louisiana;71203;South;Technology;Phones;Nokia Lumia 521 (T-Mobile);149,95;5
185;2014-11-24;Robert Marley;Monroe;Louisiana;71203;South;Technology;Accessories;HP Standard 104 key PS/2 Keyboard;29;2
186;2016-12-02;Sally Knutson;Fairfield;Connecticut;6824;East;Office Supplies;Binders;Avery Poly Binder Pockets;7,16;2
187;2014-08-30;Frank Merwin;Los Angeles;California;90032;West;Technology;Accessories;SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card;176,8;8
188;2016-07-22;Alice McCarthy;Grand Prairie;Texas;75051;Central;Office Supplies;Storage;Personal Filing Tote with Lid, Black/Gray;37,224;3
189;2016-07-22;Alice McCarthy;Grand Prairie;Texas;75051;Central;Office Supplies;Paper;Southworth 25% Cotton Antique Laid Paper & Envelopes;20,016;3
190;2015-10-14;Mark Packer;New York City;New York;10035;East;Furniture;Bookcases;Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors;899,136;4
191;2015-10-14;Mark Packer;New York City;New York;10035;East;Technology;Phones;I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink;71,76;6
192;2015-10-14;Mark Packer;New York City;New York;10035;East;Office Supplies;Paper;Xerox 205;51,84;8
193;2015-10-14;Mark Packer;New York City;New York;10035;East;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;626,352;3
194;2015-10-14;Mark Packer;New York City;New York;10035;East;Office Supplies;Art;4009 Highlighters by Sanford;19,9;5
195;2015-11-06;Mary Zewe;Redlands;California;92374;West;Office Supplies;Envelopes;Poly String Tie Envelopes;14,28;7
